'a'ka'xi 阿卡西
'cui'mian'ke'cheng 催眠课程
'cui'mian'lun'hui 催眠轮回
'cui'mian'shi 催眠师
'cui'mian'shou'fa 催眠手法
'cui'mian'xing'qiu 催眠星球
'cui'mian'you'xi 催眠游戏
'cui'mian'zhi'ling 催眠指令
'cui'mian'zhi'ru'wu'de'ying'xiang 催眠植入物的影响
'cui'mian'zhuang'zhi 催眠装置
'cui'xing 催醒
'cui'xing'fa 催醒法
'cui'xing'ji'ti'yi'shi'feng'wo'jie'gou 催醒集体意识蜂窝结构
'cui'xing'you'xi 催醒游戏
'cui'xing'you'xi'wan'jia'zhao'mu 催醒游戏玩家招募
'cun'chu'zhong'dai'lai'de'zhu'guan'yu'she'de'yin'su 存储中带来的主观预设的因素
'cun'you 存有
'cuo'wei'ya'li'yu'zhi'guan'li'zhang'cheng 错位压力阈值管理章程
'cuo'zhe'ying'ji'neng'li 挫折应激能力
'da'cheng'jie'yao 大成捷要
'da'cheng'zheng'zong'fen 大乘正宗分
'da'dao'zi'ran 大道自然
'da'hui'yuan'xing 打回原形
'da'jin'dan 大金蛋
'da'lu'ban'kuai 大陆板块
'da'wo 大我
'da'zhou'tian 大周天
'da'zuo 打坐
'da'zuo'lian'gong 打坐练功
'da'zuo'ru'ding 打坐入定
'dan'dao 丹道
'dan'tian 丹田
'dan'xian'luo'xuan'zhuang'hu'dong'jie'gou 单线螺旋状互动结构
'dan'yi'guan'xing'liu'dong'xing 单一惯性流动性
'dan'yi'shi'jiao 单一视角
'dan'yi'shi'jiao'dian 单意识焦点
'dan'zhong'fu'he'ti 单重复合体
'dan'zhong'xue 膻中穴
'dang'zhen 当真
'dang'zhen'dian 当真点
'dao'de'jing 道德經
'dao'de'zhang 道德章
'dao'meng'kong'jian 盗梦空间
'dao'meng'wan'jia 盗梦玩家
'dao'shen'zhang 道深章
'dao'xiang'zhang 道象章
'dao'xu'zhang 道虛章
'dao'zhui'di'lou'xing'mo'kuai'jie'gou'de'jian'li 倒椎滴漏形模块结构的建立
'de'shi'huan 得失幻
'deng'chu'fa 登出法
'di'ba'ling 第八灵
'di'ba'ling'ti 第八灵体
'di'ba'shen'ti'ling 第八身体灵
'di'bu'fen'bu'tong'mo'kuai'jian'hu'dong'bu'fen 第部分不同模块间互动部分
'di'bu'fen'mo'kuai'ji'di'bu'fen 第部分模块基底部分
'di'ceng'qu'yu 底层区域
'di'da'jie 第大界
'di'dui 第对
'di'er'bu'fen 第二部分
'di'er'bu'fen'hou'tian'zi'wo'tan'suo'cheng'du 第二部分后天自我探索程度
'di'er'bu'fen'li'zi'yun'dong'bu'fen 第二部分粒子运动部分
'di'er'bu'fen'ren'ti'xiang'gui'ze 第二部分人体项规则
'di'er'bu'fen'sheng'ming'zhi'chi'xiang'guan 第二部分生命支持相关
'di'er'bu'fen'ting'jue'shen'jing'bu'fen 第二部分听觉神经部分
'di'er'bu'fen'you'mo'shi'he'gou'cheng 第二部分由模式和构成
'di'er'ceng'meng 第二层梦
'di'er'ceng'qu'yu'shang'ceng'qu'yu 第二层区域上层区域
'di'er'chong'fu'he'ti 第二重复合体
'di'er'da'bu'fen'qian'yi'shi'guan'xing'bu'fen 第二大部分潜意识惯性部分
'di'er'ling 第二灵
'di'er'ling'ti 第二灵体
'di'er'shen'ti'ling 第二身体灵
'di'er'zhong'gou'he'xing'hu'dong'qu'yu 第二种沟壑型互动区域
'di'er'zhong'ji'di'jie'gou'de'yun'xing'qu'yu 第二种基底结构的运行区域
'di'er'zhong'zhi'xian'zhe'die'mo'kuai'jie'gou 第二种直线折叠模块结构
'di'ji'ling 第几灵
'di'jiu'ling 第九灵
'di'jiu'ling'ti 第九灵体
'di'jiu'shen'ti'ling 第九身体灵
'di'ling 第灵
'di'ling'ti 第灵体
'di'ling'ti'cai'hong'fang'guang'dan 第灵体彩虹放光蛋
'di'ling'ti'cai'hong'liu'guang'dan 第灵体彩虹流光蛋
'di'ling'ti'cai'hong'liu'guang'ti 第灵体彩虹流光体
'di'ling'ti'huang'se'wang'guang'ti 第灵体黄色网光体
'di'ling'ti'jin'huang'wang'guang'dan 第灵体金黄网光蛋
'di'ling'ti'lan'se'wang'guang'dan 第灵体蓝色网光蛋
'di'ling'ti'lan'se'wang'guang'ti 第灵体蓝色网光体
'di'ling'ti'tou'ming'fang'guang'dan 第灵体透明放光蛋
'di'ling'ti'tou'ming'wang'guang'dan 第灵体透明网光蛋
'di'liu'ling 第六灵
'di'liu'ling'ti 第六灵体
'di'liu'shen'ti'ling 第六身体灵
'di'liu'wei'du 第六维度
'di'mian'gao'ling 地面高灵
'di'mian'ling 地面灵
'di'pan'jie'gou 底盘结构
'di'qi'jie 第七界
'di'qi'ling 第七灵
'di'qi'ling'ti 第七灵体
'di'qi'shen'ti'ling 第七身体灵
'di'qi'wei'du 第七维度
'di'qiu 地球
'di'qiu'ren'ti'gui'ze'wei'yuan'hui 地球人体规则委员会
'di'san'bu'fen'sheng'ming'tan'suo'xiang'guan 第三部分生命探索相关
'di'san'bu'fen'tu'po'xian'tian'zi'wo'cheng'du 第三部分突破先天自我程度
'di'san'bu'fen'you'mo'shi'he'gou'cheng 第三部分由模式和构成
'di'san'bu'fen'yu'di'qiu'de'neng'liang'hui'liu'bu'fen 第三部分与地球的能量回流部分
'di'san'bu'fen'zhi'wu'shen'jing'bu'fen 第三部分植物神经部分
'di'san'chong'fu'he'ti 第三重复合体
'di'san'ling 第三灵
'di'san'ling'ti 第三灵体
'di'san'shen'ti'ling 第三身体灵
'di'san'wei'du 第三维度
'di'san'zhong'da'li'hua'hu'dong'qu'yu 第三种大丽花互动区域
'di'san'zhong'ji'di'jie'gou'de'fang'hu'qu'yu 第三种基底结构的防护区域
'di'shen 第身
'di'shen'di'ling'ti'cai'hong'fang'guang'dan 第身第灵体彩虹放光蛋
'di'shen'di'ling'ti'cai'hong'liu'guang'dan 第身第灵体彩虹流光蛋
'di'shen'di'ling'ti'cai'hong'liu'guang'ti 第身第灵体彩虹流光体
'di'shen'di'ling'ti'huang'se'wang'guang'ti 第身第灵体黄色网光体
'di'shen'di'ling'ti'jin'huang'wang'guang'dan 第身第灵体金黄网光蛋
'di'shen'di'ling'ti'lan'se'wang'guang'dan 第身第灵体蓝色网光蛋
'di'shen'di'ling'ti'lan'se'wang'guang'ti 第身第灵体蓝色网光体
'di'shen'di'ling'ti'tou'ming'fang'guang'dan 第身第灵体透明放光蛋
'di'shen'di'ling'ti'tou'ming'wang'guang'dan 第身第灵体透明网光蛋
'di'shen'ling'chuan 第身灵串
'di'shen'ling'he 第身灵核
'di'shen'rou'ti 第身肉体
'di'shi'er'shen'ti'ling 第十二身体灵
'di'shi'shen'ti'ling 第十身体灵
'di'shi'yi'shen'ti'ling 第十一身体灵
'di'si'bu'fen'shen'xing'de'luo'di'bu'fen 第四部分神性的落地部分
'di'si'bu'fen'shen'xing'lian'jie'xiang'guan 第四部分神性连接相关
'di'si'bu'fen'you'mo'shi'he'gou'cheng 第四部分由模式和构成
'di'si'bu'fen'zong'he'tuo'zhan'bu'fen 第四部分综合拓展部分
'di'si'ling 第四灵
'di'si'ling'ti 第四灵体
'di'si'shen'ti'ling 第四身体灵
'di'si'zhong'chuan'yin'tong'hu'dong'qu'yu 第四种传音筒互动区域
'di'si'zhong'fu'he'ti 第四重复合体
'di'wei'kong'jian 低维空间
'di'wu'bu'fen 第五部分
'di'wu'ling 第五灵
'di'wu'ling'ti 第五灵体
'di'wu'shen'ti'ling 第五身体灵
'di'xing'tai 第形态
'di'yi'bu'fen'ge'ti'an'quan'gan'xiang'guan 第一部分个体安全感相关
'di'yi'bu'fen'ju'neng'zhu'cun'bu'fen 第一部分聚能贮存部分
'di'yi'bu'fen'mo'kuai'jian'li'bu'fen 第一部分模块建立部分
'di'yi'bu'fen'ren'ti'xiang'zhang'cheng 第一部分人体项章程
'di'yi'bu'fen'shi'jue'shen'jing'bu'fen 第一部分视觉神经部分
'di'yi'bu'fen'xian'tian'zi'wo'kai'fa'cheng'du 第一部分先天自我开发程度
'di'yi'bu'fen'you'mo'shi'he'gou'cheng 第一部分由模式和构成
'di'yi'ceng'meng 第一层梦
'di'yi'ceng'qu'yu'di'ceng'qu'yu 第一层区域底层区域
'di'yi'da'bu'fen'xin'zhi'guan'xing'bu'fen 第一大部分心智惯性部分
'di'yi'ling 第一灵
'di'yi'ling'ti 第一灵体
'di'yi'shen'ti 第一身体
'di'yi'shen'ti'ling 第一身体灵
'di'yi'zhong'fu'he'ti 第一重复合体
'di'yi'zhong'ji'di'jie'gou'de'da'jian'qu'yu 第一种基底结构的搭建区域
'di'yi'zhong'luo'xuan'gan'ying'mo'kuai'jie'gou 第一种螺旋感应模块结构
'di'yi'zhong'shan'hu'zhuang'hu'dong'qu'yu 第一种珊瑚状互动区域
'di'zhan'ji 敵戰計
'dian'dui'dian'xin'xi'gan'rao'yu'zhi 点对点信息干扰阈值
'dian'meng 电蒙
'dian'wang 电网
'dian'zhuang'neng'liang'ju'san'hu'dong'jie'gou 点状能量聚散互动结构
'dian'zi'huan'xiang 电子幻相
'dian'zi'huan'xiang 电子幻象
'die'jia'ya'li'yu'zhi'guan'li'zhang'cheng 叠加压力阈值管理章程
'die'pian'zhuang'hu'dong'jie'gou 叠片状互动结构
'die'zhuang'xun'huan'hu'dong'lei'xing 蝶状循环互动类型
'ding'lun 顶轮
'dong'li'yin'zi 动力因子
'dou'dou'zhuan'zhuan 兜兜转转
'dou'huan 斗幻
'du'li'si'kao 独立思考
'du'li'si'kao'de'neng'li 独立思考的能力
'du'li'si'wei'neng'li 独立思维能力
'du'mai 督脉
'du'qi'shang 肚脐上
'du'qi'xia 肚脐下
'duan'kai 断开
'dui'fei'zhong'dian'guan'zhu'cheng'xiang'de'shang'chuan'bi'li 对非重点关注成像的上传比例
'dui'fei'zhong'dian'guan'zhu'cheng'xiang'de'shang'chuan'zhen'shi'du 对非重点关注成像的上传真实度
'dui'mu'qian'hua'mian'guan'zhu'dian'de'shu'liang 对目前画面关注点的数量
'dui'sheng'ming'de'hao'qi'zhi'shu 对生命的好奇指数
'dui'sheng'ming'de'jie'na'du 对生命的接纳度
'dui'sheng'ming'de're'ai'du 对生命的热爱度
'dui'sheng'ming'de'zun'zhong'du 对生命的尊重度
'dui'ta'ren'de'xin'ren'du 对他人的信任度
'dun'gan 钝感
'dun'gan'du 钝感度
'duo'chong'fu'he'ti 多重复合体
'duo'chong'kong'jian'de'pao'pao 多重空间的泡泡
'duo'guan'xing'zu'he'liu'dong'xing 多惯性组合流动性
'duo'jiao'du'tan'suo'neng'li 多角度探索能力
'duo'she 夺舍
'duo'shi'lun'hui 多世轮回
'duo'wei'shi'jie 多维世界
'duo'xian'zhi'xian'hu'dong'jie'gou 多线直线互动结构
'duo'yi'shi'jiao'dian 多意识焦点
'duo'yuan'yu'zhou 多元宇宙
'e'tou'zhong'yang 额头中央
'er'ling 二灵
'er'qiao 二桥
'er'shi'ba'tian'jie'fen 二十八天界分
'er'yuan'dui'li 二元对立
'er'yuan'huan'xiang 二元幻相
'er'yuan'qing'xiang 二元倾向
'fa'da'zhe 发达者
'fa'jie'tong'hua'fen 法界通化分
'fa'kuai'yin'you'fen 法會因由分
'fa'shen'fei'xiang'fen 法身非相分
'fan'cui'mian 反催眠
'fan'cui'mian'ji'zhi 反催眠机制
'fan'cui'mian'you'xi 反催眠游戏
'fan'cui'mian'you'xi'hai'bo'qun 反催眠游戏海播群
'fan'cui'mian'you'xi'ji'ti'ling 反催眠游戏集体灵
'fan'cui'mian'you'xi'ji'ti'ling'qun 反催眠游戏集体灵群
'fan'cui'mian'you'xi'tao'lun'qun 反催眠游戏讨论群
'fan'cui'mian'you'xi'wan'jia'zhao'mu'qun 反催眠游戏玩家招募群
'fan'gun'bo'lang'xing'mo'kuai'jie'gou'de'jian'li 翻滚波浪形模块结构的建立
'fan'xiang'cui'mian 反向催眠
'fan'ying'bian'tong'cheng'du 反应变通程度
'fan'ying'gu'hua 反应固化
'fan'ying'gu'hua'cheng'du 反应固化程度
'fan'ying'liu'de'chu'fa'yu'kuo'san 反应流的触发与扩散
'fan'ying'mo'shi 反应模式
'fan'zhi 反值
'fang'hu'zhao 防护罩
'fang'yi'xi'tong 防疫系统
'fang'yu'ti'xi 防御体系
'fang'yu'xi'tong 防御系统
'fang'yu'zhao 防御罩
'fang'zhong'shu 房中术
'fei'di'mian 非地面
'fei'jian'xing'hu'dong'jie'gou 飞剑型互动结构
'fei'shuo'suo'shuo'fen 非說所說分
'fei'wu'zhi'jie 非物质界
'fei'xia'xiong'jian 肺下胸间
'fei'xing'qi 飞行器
'fen'hong'da'xiang 粉红大象
'fen'hua'liu'dong'xing 分化流动性
'fen'hua'rou'he'xing 分化柔和性
'fen'hua'ruo'hua'xing 分化弱化性
'fen'hua'wen'ding'xing 分化稳定性
'fen'hua'xi'zhi'xing 分化细致性
'fen'hua'xing 分化性
'fen'hua'xing'fang'mian 分化性方面
'fen'hua'zu'he'xing 分化组合性
'fen'li'huan 分离幻
'fen'li'yi'shi 分离意识
'fen'ling 分灵
'fen'nu'mo'shi 愤怒模式
'fen'shen 分神
'feng'wo'jie'gou 蜂窝结构
'feng'zu 凤族
'fu'he'ti 复合体
'fu'he'ti'ling 复合体灵
'fu'he'ti'ling'tan'suo 复合体灵探索
'fu'he'ti'tan'suo 复合体探索
'fu'he'ti'tuan'dui 复合体团队
'fu'he'ti'xie'zuo'neng'li 复合体协作能力
'fu'he'ti'yi'yuan'tong'yi'du 复合体意愿统一度
'fu'pan 复盘
'fu'pan'zong'jie 复盘总结
'fu'qiang 腹腔
'fu'shi'hu'xi 腹式呼吸
'fu'ti'ling 附体灵
'fu'zhi'mo'bi'fen 福智無比分
'gan'guan'gan'zhi 感官感知
'gan'ling 肝灵
'gan'rao'yin'zi 干扰因子
'gan'rao'yu'zhi 干扰阈值
'gan'zhi'de'xi'wei'du 感知的细微度
'gan'zhi'neng'li 感知能力
'gao'ji'ban 高级班
'gao'ling 高灵
'gao'ling'tuan'dui 高灵团队
'gao'pin'zha'dan 高频炸弹
'gao'wei 高维
'gao'wei'ceng'mian 高维层面
'gao'wei'kong'jian 高维空间
'gao'wo'yi'zhi 高我意志
'gao'ya'dian'ji 高压电击
'gao'zhan'yuan'zhu'de'neng'li 高瞻远瞩的能力
'ge'an 个案
'ge'jie 各界
'ge'ren'bao'hu'zhao 个人保护罩
'ge'ren'da'jin'dan 个人大金蛋
'ge'ti'an'quan'gan'xiang'guan 个体安全感相关
'ge'ti'ling'he 个体灵核
'ge'ti'shi'jian'xian 个体时间线
'ge'ti'xian'xiang'jie 个体现象界
'ge'ti'zhu'guan'yi'tu'de'ying'xiang 个体主观意图的影响
'geng'gao'wei'du 更高维度
'gong'fang'mo'kuai 攻防模块
'gong'fang'xi'tong 攻防系统
'gong'ji'yue'qiang 攻击越强
'gong'xiu'zhe 共修者
'gong'zhan'ji 攻戰計
'gong'zuo'an'quan'gan 工作安全感
'gou'he'jie'gou 沟壑结构
'gou'tong'li'jie'huan'yuan'du 沟通理解还原度
'gu'dao 谷道
'gu'ge 古哥
'gu'hua'cheng'du 固化程度
'gu'ling 古零
'gu'ling'da'yi 古零答疑
'gu'ling'qian'cui 古灵潜催
'gu'ling'qian'cui 古零潜催
'gu'ling'qian'cui'shi 古零潜催师
'gu'ling'qian'yi'shi 古零潜意识
'gu'ling'qian'yi'shi'cui'mian 古零潜意识催眠
'gu'ling'qian'yi'shi'cui'mian'ke'cheng 古零潜意识催眠课程
'gu'ling'tuo'min 古灵脱敏
'gu'ling'tuo'min 古零脱敏
'gu'ling'tuo'min'fa 古零脱敏法
'gu'you'guan'nian 固有观念
'guan'cha'shi'jiao 观察视角
'guan'dian'ying'fa 观电影法
'guan'li'zhang'cheng 管理章程
'guan'xiang 观想
'guan'xiang'neng'li 观想能力
'guan'xing 惯性
'guan'xing'he'xin'liu'dong'xing 惯性核心流动性
'guan'xing'si'wei 惯性思维
'guan'xing'yu'xian'liu'dong'xing 惯性阈限流动性
'guan'zhu'zhang 觀諸章
'guan'zi 管子
'guang'huan'fa 光环法
'guang'huan'jing'se 光环净色
'guang'huan'se'dui 光环色对
'guang'ming'shi'li 光明势力
'guang'ti 光体
'guo'ge 郭哥
'guo'guan'fu'shi 过关服食
'hai'di'lun 海底轮
'hai'xu 还虚
'hai'xu'mian'bi 还虚面壁
'hai'xu'zhi'fa 还虚之法
'he'shen'fa 合神法
'he'shen'pian 合神篇
'he'xin'neng'liang'fa'hui'lv 核心能量发挥率
'he'xin'pin'lv 核心频率
'he'yi 合一
'he'yi'ben'yuan 合一本源
'he'yi'fa 合一法
'he'yi'jing 合一经
'hei'an'xing'xi 黑暗星系
'hei'fang 黑方
'hei'hei'lao'da 黑黑老大
'hei'ping 黑屏
'hei'ping'zhang'ai 黑屏障碍
'hong'guan'guan'cha'neng'li 宏观观察能力
'hou'lun 喉轮
'hou'lun'xin'lun'zhi'jian 喉轮心轮之间
'hou'tian'shen 后天神
'hou'tian'zi'wo'tan'suo'cheng'du 后天自我探索程度
'hu'chui 互锤
'hu'cui 互催
'hu'cui'an'li 互催案例
'hu'cui'chang'yu 互催场域
'hu'cui'guo'cheng 互催过程
'hu'cui'shi'jian 互催实践
'hu'dong'lei'xing 互动类型
'hu'xi'fa 呼吸法
'hu'xian'lian'jie'yun'xing'fang'shi 弧线连接运行方式
'hua'chi 华池
'hua'jie'lou'dong 化解漏洞
'hua'mo'suo'hua'fen 化無所化分
'hua'xin'fang'she'luo'xuan'xing'hu'dong'jie'gou 花心放射螺旋型互动结构
'hua'xin'fang'she'zi'xuan'qiu'xing'hu'dong'jie'gou 花心放射自旋球型互动结构
'huan'bian 幻变
'huan'qi 换炁
'huan'shen 换身
'huan'shen'fa 换身法
'huan'xian'xing'shuang'bing'xing'jie'gou 环线形双并行结构
'huan'xiang 幻相
'huan'xiang 幻象
'huan'xiang'zha'dan 幻相炸弹
'huang'hu'zhang 恍惚章
'huang'hu'zhuang'tai 恍惚状态
'huang'se'wang'guang'ti 黄色网光体
'huang'ting 黄庭
'hui'fu'ji'yi 恢复记忆
'hui'gui'ben'yuan 回归本源
'hui'gui'zi'you 回归自由
'hui'liu'de'shen'du 回流的深度
'hui'liu'de'su'du 回流的速度
'hui'liu'de'wan'zheng'du 回流的完整度
'hui'yin 会阴
'hun'he'xing'mo'kuai'ji'zhi 混合型模块机制
'hun'zhan'ji 混戰計
'huo'ling 活灵
'huo'zai'dang'xia 活在当下
'ji'chu'ban 基础班
'ji'cui 集催
'ji'di'jie'gou'de'da'jian'qu'yu 基底结构的搭建区域
'ji'di'jie'gou'de'fang'hu'qu'yu 基底结构的防护区域
'ji'di'jie'gou'de'yun'xing'qu'yu 基底结构的运行区域
'ji'dian 基点
'ji'du'mo'shi 嫉妒模式
'ji'fa'cheng'du 继发程度
'ji'he'xing'qian'tao'shi'hu'dong'lei'xing 几何型嵌套式互动类型
'ji'meng 记梦
'ji'mo'zhang 寂寞章
'ji'qi'shen'ti 机器身体
'ji'qi'shi'jie 机器世界
'ji'sheng'ling 寄生灵
'ji'ti'da'jin'dan 集体大金蛋
'ji'ti'fang'yu 集体防御
'ji'ti'fang'yu'xi'tong 集体防御系统
'ji'ti'gong'xiang 集体共享
'ji'ti'jue'xing 集体觉醒
'ji'ti'ling 集体灵
'ji'ti'shi'jian'xian 集体时间线
'ji'ti'xian'xiang'jie 集体现象界
'ji'ti'yi'shi 集体意识
'ji'ti'yi'shi'cui'xing 集体意识催醒
'ji'ti'yi'shi'feng'wo'jie'gou 集体意识蜂窝结构
'ji'ti'yi'shi'jin'zi'ta'jie'gou 集体意识金字塔结构
'ji'yi'hui'fu 记忆恢复
'ji'yi'hui'su 记忆回溯
'ji'yi'mao'dian 记忆锚点
'ji'yi'sui'pian 记忆碎片
'ji'yin'chuan 基因串
'jia'ji 夹脊
'jia'kong 假空
'jia'mi'chuan'shu 加密传输
'jia'ting'an'quan'gan 家庭安全感
'jia'ting'huan'jing'de'ying'xiang 家庭环境的影响
'jia'xin'xi 假信息
'jia'zhuang'fa 假装法
'jian'ce'dian 检测点
'jian'ce'shu'zhi 检测数值
'jian'die 剑蝶
'jian'die'ling 剑蝶灵
'jian'die'ling 间谍灵
'jian'jie'cui'mian 间接催眠
'jian'shao'xin'xi'li'zi'de'jin'ru'gui'ze 减少信息粒子的进入规则
'jian'zheng'ben'yuan 见证本源
'jiao'cha'yu'shen'tou'de'ying'xiang 交叉与渗透的影响
'jiao'dian'tou'she 焦点投射
'jiao'jie 交界
'jiao'lv'dan'you'mo'shi 焦虑担忧模式
'jie'gou'jian'li 结构建立
'jie'gou'yu'po'jie 结构与破解
'jie'jia'xiu'zhen 借假修真
'jie'na'ta'ren'de'neng'li 接纳他人的能力
'jie'shi'zhang 戒示章
'jie'shou'du 接收度
'jie'shou'xin'shi'wu'de'neng'li 接受新事物的能力
'jie'shou'xin'xi 接收信息
'jie'tuo'pian 解脱篇
'jie'you'zhang 皆有章
'jin'dan 金蛋
'jin'dan'fang'yu 金蛋防御
'jin'gang'bo're'bo'luo'mi'jing 金剛般若波羅蜜經
'jin'huang'se 金黄色
'jin'huang'wang'guang'dan 金黄网光蛋
'jin'qian'wu'zhi'an'quan'gan 金钱物质安全感
'jin'zi'ta'jie'gou 金字塔结构
'jing'dao 精道
'jing'guan 静观
'jing'guan'fa 静观法
'jing'jie'zhang 經戒章
'jing'mai'ling 经脉灵
'jing'shen'bing'shi 精神病史
'jing'shen'ceng'mian 精神层面
'jing'shen'nei'hao 精神内耗
'jing'shen'qing'gan 精神情感
'jing'shen'yi'zhi 精神意志
'jing'shen'zhi'shou 精神之手
'jing'xiang'ji'shu 镜像技术
'jing'xin'du'chu'neng'li 静心独处能力
'jing'xin'xing'shan'fen 淨心行善分
'jiu'di'guo 旧帝国
'jiu'ge'ling'ti 九个灵体
'jiu'jing'mo'wo'fen 究竟無我分
'jiu'ling 九灵
'jiu'nian'mian'bi 九年面壁
'ju'ben'sha 剧本鲨
'ju'neng'zhu'cun'bu'fen 聚能贮存部分
'ju'xiang'hua 具象化
'ju'zhen 矩阵
'ju'zhen'you'xi 矩阵游戏
'ju'zhen'zhi'wai 矩阵之外
'jue'cha 觉察
'jue'cha'fa 觉察法
'jue'se'ren'tong 角色认同
'jue'wang'xing'fan'ying'mo'shi 绝望型反应模式
'jue'xing 觉醒
'jue'xing'ce'lue 觉醒策略
'jue'xing'gong'neng 觉醒功能
