'a'er'fa'nan'tuan 阿尔法男团
'fan'mei'jin'biao'sai 泛美锦标赛
'fan'xiang'guan'jie'suo 反向关节锁
'fan'xiang'guo'tui 反向过腿
'fan'xiang'sao 反向扫
'fan'xiang'tao'tuo 反向逃脱
'fan'ying 反应
'fan'zhuan'de'la'li'wa'fang'shou 反转德拉里瓦防守
'fang'hua'fen 防滑粉
'fang'shou 防守
'fang'shou'fan'ji 防守反击
'fang'shou'kuang'jia 防守框架
'fang'shou'tao'tuo 防守逃脱
'fang'shou'wei'mu'cun'suo 防守位木村锁
'fang'shou'wei'shi'zi'gu 防守位十字固
'fei'er'nan'duo'ma'tuo'si 费尔南多马托斯
'feng'bi'shi'fang'shou 封闭式防守
'feng'bi'shi'sao 封闭式扫
'fu'he'guan'jie'suo 复合关节锁
'fu'he'guo'tui 复合过腿
'fu'he'jiao 复合绞
'fu'he'sao 复合扫
'fu'he'tao'tuo 复合逃脱
'fu'la'wei'ao'bei'lin 弗拉维奥贝林
'fu'lang'xi'si'ke'sa 弗朗西斯科萨
'fu'za'zhan'shu 复杂战术
'gang'gan 杠杆
'gao'wei'fang'shou 高位防守
'gao'wei'tao'tuo 高位逃脱
'ge'deng'rui'an 戈登瑞安
'ge'lei'xi'ba'ha 格雷西巴哈
'ge'lei'xi'jia'zu 格雷西家族
'ge'lei'xi'rou'shu 格雷西柔术
'gen'jian'suo 跟腱锁
'gen'jian'suo'bian'ti 跟腱锁变体
'gong'kai'sai 公开赛
'gu'ding'guan'jie'suo 固定关节锁
'gu'ding'guo'tui 固定过腿
'gu'ding'jiao 固定绞
'gu'ding'sao 固定扫
'gu'ding'tao'tuo 固定逃脱
'guan'jie'suo 关节锁
'guan'jie'suo'rou'shu 关节锁柔术
'guan'jun 冠军
'gui'zi'fang'shou 跪姿防守
'guo'tui 过腿
'guo'tui'fang'shou 过腿防守
'guo'tui'hou'kong'zhi 过腿后控制
'guo'tui'tao'tuo 过腿逃脱
'he'li'ao'ge'lei'xi 赫里奥格雷西
'hei'dai 黑带
'hei'hong'dai 黑红带
'heng'xiang'guan'jie'suo 横向关节锁
'heng'xiang'guo'tui 横向过腿
'heng'xiang'jiao 横向绞
'heng'xiang'sao 横向扫
'heng'xiang'tao'tuo 横向逃脱
'hong'dai 红带
'hou'guo'tui 后过腿
'hu'bei 护背
'hu'chi 护齿
'hu'dang 护裆
'hu'die'fang'shou 蝴蝶防守
'hu'die'sao 蝴蝶扫
'hu'er 护耳
'hu'huai 护踝
'hu'jian 护肩
'hu'jiao 护脚
'hu'jing 护颈
'hu'shou 护手
'hu'tui 护腿
'hu'wan 护腕
'hu'xi 护膝
'hu'xiong 护胸
'hu'yao 护腰
'hu'zhi 护指
'hu'zhi 护趾
'hu'zhou 护肘
'hua'bu'guo'tui 滑步过腿
'hua'bu'tao'tuo 滑步逃脱
'huai'guan'jie'suo 踝关节锁
'hun'he'jiao 混合绞
'hun'he'zhan'shu 混合战术
'ji'chu'guo'tui 基础过腿
'ji'da 击打
'ji'fen'ban 计分板
'ji'hua 计划
'ji'jun 季军
'jia'sha'gu 袈裟固
'jian'bu'kong'zhi 肩部控制
'jian'bu'suo 肩部锁
'jian'bu'tao'tuo 肩部逃脱
'jian'cha'dian 检查点
'jian'dan'guan'jie'suo 简单关节锁
'jian'dan'guo'tui 简单过腿
'jian'dan'jiao 简单绞
'jian'dan'sao 简单扫
'jian'dan'tao'tuo 简单逃脱
'jian'dan'zhan'shu 简单战术
'jian'dao'sao 剪刀扫
'jian'guan'jie'suo 肩关节锁
'jian'suo 肩锁
'jiang'ji 降级
'jiao'cha'kong'zhi 交叉控制
'jiao'dai 胶带
'jiao'huai'kong'zhi 脚踝控制
'jiao'huai'suo 脚踝锁
'jiao'huai'suo'bian'ti 脚踝锁变体
'jiao'huai'tao'tuo 脚踝逃脱
'jiao'ji 绞技
'jiao'ji'rou'shu 绞技柔术
'jiao'lian 教练
'jiao'lian'fu 教练服
'jiao'zhi'guan'jie'suo 脚趾关节锁
'jiao'zhi'suo 脚趾锁
'jiao'zhi'suo'bian'ti 脚趾锁变体
'jiao'zhi'tao'tuo 脚趾逃脱
'jie'zou 节奏
'jin'cou'fang'shou 紧凑防守
'jin'cou'tao'tuo 紧凑逃脱
'jin'gong 进攻
'jing'bu'kong'zhi 颈部控制
'jing'bu'kong'zhi'fang'shou 颈部控制防守
'jing'bu'tao'tuo 颈部逃脱
'jing'ji'rou'shu 竞技柔术
'jing'tai'fang'shou 静态防守
'jing'tai'tao'tuo 静态逃脱
'jue'sai 决赛
'ka'luo'si'ge'lei'xi 卡洛斯格雷西
'ka'luo'si'luo'bu'sen'ge'lei'xi 卡洛斯罗布森格雷西
'kai'fang'kong'zhi 开放控制
'kai'fang'shi'fang'shou 开放式防守
'kai'fang'shi'sao 开放式扫
'kong'zhi 控制
'kong'zhi'jie'zou 控制节奏
'ku'tui'jiao 裤腿绞
'ku'zi 裤子
'kuai'su'guan'jie'suo 快速关节锁
'kuai'su'guo'tui 快速过腿
'kuai'su'jiao 快速绞
'kuai'su'jin'gong 快速进攻
'kuai'su'sao 快速扫
'kuai'su'tao'tuo 快速逃脱
'kuan'guan'jie'suo 髋关节锁
'la'shen'dai 拉伸带
'la'zhuai'tao'tuo 拉拽逃脱
'lan'dai 蓝带
'lei'ke'sen'ge'lei'xi 雷克森格雷西
'li'liang 力量
'lian'meng 联盟
'ling'huo'fang'shou 灵活防守
'ling'huo'tao'tuo 灵活逃脱
'ling'huo'xing 灵活性
'ling'kou'jiao 领口绞
'lu'yi'si'fu'lang'sa'fei'lue 路易斯弗朗萨菲略
'luo'er'si'ge'lei'xi 罗尔斯格雷西
'luo'jiao 裸绞
'luo'jiao'tao'tuo 裸绞逃脱
'luo'li'en'ge'lei'xi 罗里恩格雷西
'luo'yi'si'ge'lei'xi 罗伊斯格雷西
'ma'cha'duo'xiong'di 马查多兄弟
'ma'ku'si'a'er'mei'da 马库斯阿尔梅达
'mao'jin 毛巾
'miao'biao 秒表
'mu'cun'jiao 木村绞
'mu'cun'suo 木村锁
'mu'cun'suo'bian'ti 木村锁变体
'mu'cun'suo'tao'tuo 木村锁逃脱
'mu'zhi'guan'jie'suo 拇指关节锁
'nai'li 耐力
'nan'bei'wei 南北位
'niu'zhuan'tao'tuo 扭转逃脱
'ou'zhou'jin'biao'sai 欧洲锦标赛
'pai'di'ren'shu 拍地认输
'pao'mo'zhou 泡沫轴
'ping'heng 平衡
'qi'cheng'wei 骑乘位
'qi'cheng'wei'mu'cun'suo 骑乘位木村锁
'qi'cheng'wei'shi'zi'gu 骑乘位十字固
'qi'cheng'wei'tao'tuo 骑乘位逃脱
'qi'dao'jiao 气道绞
'qian'guo'tui 前过腿
'qian'jiao 前绞
'qiao'mo'lei'la 乔莫雷拉
'qiao'tao'tuo 桥逃脱
'qu'gan'kong'zhi 躯干控制
'quan'feng'bi'kong'zhi 全封闭控制
're'fu'dai 热敷袋
'ri'ben'jiao 日本绞
'rou'shu 柔术
'san'jiao'jiao 三角绞
'san'jiao'jiao'tao'tuo 三角绞逃脱
'sao'ji 扫技
'shang'jiao 上绞
'shang'xiang'guan'jie'suo 上向关节锁
'shang'xiang'guo'tui 上向过腿
'shang'xiang'sao 上向扫
'shang'xiang'tao'tuo 上向逃脱
'shang'yi 上衣
'shen'zhi'tao'tuo 伸直逃脱
'sheng'ji 升级
'shi'jie'jin'biao'sai 世界锦标赛
'shi'zhan 实战
'shi'zi'gu 十字固
'shi'zi'gu'bian'ti 十字固变体
'shi'zi'gu'tao'tuo 十字固逃脱
'shi'zi'jiao 十字绞
'shou'bi'kong'zhi 手臂控制
'shou'bi'kong'zhi'fang'shou 手臂控制防守
'shou'bi'san'jiao'jiao 手臂三角绞
'shou'bi'san'jiao'suo 手臂三角锁
'shou'bi'suo 手臂锁
'shou'wan'kong'zhi 手腕控制
'shou'wan'suo 手腕锁
'shou'wan'tao'tuo 手腕逃脱
'shou'zhi'guan'jie'suo 手指关节锁
'shuai'jiao 摔跤
'shuang'bi'kong'zhi 双臂控制
'shuang'shou'jiao 双手绞
'shuang'shou'sao 双手扫
'shuang'tui'fang'shou 双腿防守
'shuang'tui'guo'tui 双腿过腿
'shui'ping 水瓶
'si'fen'zhi'san'qi'cheng 四分之三骑乘
'song'san'fang'shou 松散防守
'song'san'tao'tuo 松散逃脱
'su'du 速度
'suo'bian'ti 锁变体
'tang'zi'fang'shou 躺姿防守
'tao'tai'sai 淘汰赛
'tao'tuo 逃脱
'tiao'yue'guo'tui 跳跃过腿
'tiao'zhan'sai 挑战赛
'tou'bu'kong'zhi 头部控制
'tui'bu'kong'zhi 腿部控制
'tui'bu'san'jiao'suo 腿部三角锁
'tui'bu'suo 腿部锁
'tui'bu'tao'tuo 腿部逃脱
'tui'ji'tao'tuo 推挤逃脱
'tui'suo 腿锁
'tui'suo'fang'shou 腿锁防守
'tui'suo'rou'shu 腿锁柔术
'tun'bu'kong'zhi 臀部控制
'wan'guan'jie'suo 腕关节锁
'wan'qu'tao'tuo 弯曲逃脱
'wan'suo 腕锁
'wan'suo'bian'ti 腕锁变体
'wei'jin'gu 围巾固
'wei'jin'jiao 围巾绞
'wu'dao'fu 无道服
'wu'dao'fu'guan'jie'suo 无道服关节锁
'wu'dao'fu'guo'tui 无道服过腿
'wu'dao'fu'jiao 无道服绞
'wu'dao'fu'rou'shu 无道服柔术
'wu'dao'fu'sao 无道服扫
'wu'dao'fu'tao'tuo 无道服逃脱
'wu'dao'fu'zhan'shu 无道服战术
'xi'gai'kong'zhi 膝盖控制
'xi'gai'tao'tuo 膝盖逃脱
'xi'gang'sao 膝杠扫
'xi'guan'jie'suo 膝关节锁
'xi'qi'wei 膝骑位
'xi'shi'zi'gu 膝十字固
'xi'shi'zi'gu'bian'ti 膝十字固变体
'xi'suo 膝锁
'xi'suo'bian'ti 膝锁变体
'xia'jiao 下绞
'xia'xiang'guan'jie'suo 下向关节锁
'xia'xiang'guo'tui 下向过腿
'xia'xiang'sao 下向扫
'xia'xiang'tao'tuo 下向逃脱
'xian'dai'rou'shu 现代柔术
'xiang'fu 降服
'xie'jiao 斜绞
'xie'tiao'xing 协调性
'xie'xiang'guan'jie'suo 斜向关节锁
'xie'xiang'guo'tui 斜向过腿
'xie'xiang'sao 斜向扫
'xie'xiang'tao'tuo 斜向逃脱
'xiong'bu'ya'zhi 胸部压制
'xiu'jiao 袖绞
'xuan'zhuan'guan'jie'suo 旋转关节锁
'xuan'zhuan'guo'tui 旋转过腿
'xuan'zhuan'jiao 旋转绞
'xuan'zhuan'sao 旋转扫
'xuan'zhuan'tao'tuo 旋转逃脱
'xue'guan'jiao 血管绞
'xun'huan'sai 循环赛
'xun'lian 训练
'xun'lian'bei'xin 训练背心
'xun'lian'dian 训练垫
'xun'lian'duan'ku 训练短裤
'ya'jun 亚军
'ya'li'guo'tui 压力过腿
'ya'zhi 压制
'ya'zhi'tao'tuo 压制逃脱
'ya'zhou'jin'biao'sai 亚洲锦标赛
'yao'dai 腰带
'yao'qi'wei 腰骑位
'yi'dong'guan'jie'suo 移动关节锁
'yi'dong'guo'tui 移动过腿
'yi'dong'jiao 移动绞
'yi'dong'tao'tuo 移动逃脱
'yu'pan 预判
'yue'han'dan'na'he 约翰丹纳赫
'zhan'li'guan'jie'suo 站立关节锁
'zhan'li'guo'tui 站立过腿
'zhan'li'jiao 站立绞
'zhan'li'sao 站立扫
'zhan'li'tao'tuo 站立逃脱
'zhan'shu 战术
'zheng'mian'fang'shou 正面防守
'zheng'mian'tao'tuo 正面逃脱
'zheng'xiang'guan'jie'suo 正向关节锁
'zheng'xiang'guo'tui 正向过腿
'zheng'xiang'sao 正向扫
'zheng'xiang'tao'tuo 正向逃脱
'zhi'zhu'fang'shou 蜘蛛防守
'zhi'zhu'sao 蜘蛛扫
'zhong'bai'sao 钟摆扫
'zhou'bu'kong'zhi 肘部控制
'zhou'bu'suo 肘部锁
'zhou'bu'tao'tuo 肘部逃脱
'zhou'guan'jie'suo 肘关节锁
'zhou'suo 肘锁
'zhu'dong'fang'shou 主动防守
'zhu'dong'tao'tuo 主动逃脱
'zhua'wo 抓握
'zhuan'shen 转身
'zhuan'shen'guo'tui 转身过腿
'zhuan'shen'tao'tuo 转身逃脱
'zi'dai 紫带
'zi'ge'sai 资格赛
'zi'shi 姿势
'zi'wei'rou'shu 自卫柔术
'zong'dai 棕带
'zong'he'rou'shu 综合柔术
'zong'xiang'guan'jie'suo 纵向关节锁
'zong'xiang'guo'tui 纵向过腿
'zong'xiang'jiao 纵向绞
'zong'xiang'sao 纵向扫
'zong'xiang'tao'tuo 纵向逃脱
'zuo'zi'fang'shou 坐姿防守
