'ai'ren'kuang'dong 矮人矿洞
'li'shi'chang'jing 历史场景
'li'ti'zhu'yi 立体主义
'li'zi'te'xiao 粒子特效
'ling'xian'xian 领先线
'lv'xing'mao'xian 旅行冒险
'man'dong'zuo 慢动作
'mao'mi 猫咪
'mei'li'nv'hai 美丽女孩
'mei'shi'you'ren 美食诱人
'meng'huan'xiao'guo 梦幻效果
'mo'fa'pao 魔法袍
'mo'fa'xiao'guo 魔法效果
'mo'fa'xue'xiao 魔法学校
'mo'ri'fei'xu 末日废墟
'mo'tuo'che'ku'xuan 摩托车酷炫
'mu'wen'zi'ran 木纹自然
'ni'hong'deng'guang 霓虹灯光
'pai'dui'kuang'huan 派对狂欢
'peng'you'ju'hui 朋友聚会
'pi'fu'xi'ni 皮肤细腻
'pi'jia'ke 皮夹克
'pin'pai'xuan'chuan 品牌宣传
'qi'che'su'du 汽车速度
'qi'huan'shi'jie 奇幻世界
'qian'jing'tu'chu 前景突出
'qian'jing'yuan'su 前景元素
'qing'gan'biao'da 情感表达
'qu'shi 趋势
'quan'jing 全景
'quan'zhong'can'shu 权重参数
'qun'xiang'chang'jing 群像场景
're'cheng'xiang 热成像
'ren'wu'xiao'xiang 人物肖像
'ren'wu'yi'zhi'xing 人物一致性
'ri'ben'he'feng 日本和风
'rou'he'se'diao 柔和色调
'rou'jiao'xiao'guo 柔焦效果
'rui'li'bian'yuan 锐利边缘
'rui'li'qian'jing 锐利前景
'sai'bo'peng'ke 赛博朋克
'se'cai'he'xie 色彩和谐
'se'cai'xian'ming 色彩鲜明
'sen'lin'shen'mi 森林神秘
'sha'mo'guang'kuo 沙漠广阔
'sha'mo'tan'xian 沙漠探险
'shan'chuan'he'liu 山川河流
'shen'guang 神光
'sheng'dan'wen'xin 圣诞温馨
'sheng'ri'kuai'le 生日快乐
'shi'liang'cha'hua 矢量插画
'shi'nei'she'ji 室内设计
'shi'shang'fu'shi 时尚服饰
'shou'hui'feng 手绘风
'shu'zi'shou'cang 数字收藏
'shuai'qi'nan'hai 帅气男孩
'shui'guo'xin'xian 水果新鲜
'shui'mo'hua 水墨画
'shui'xia'shi'jie 水下世界
'tai'kong'xing'kong 太空星空
'tan'xian'jia 探险家
'tang'zi'yong'lan 躺姿慵懒
'te'xie 特写
'ti'ji'guang 体积光
'ti'shi'ci 提示词
'tian'kong'zhi'cheng 天空之城
'tian'shi'sheng'jie 天使圣洁
'tiao'yue 跳跃
'tou'fa'piao'yi 头发飘逸
'tu'sheng'tu 图生图
'tu'shu'guan 图书馆
'tu'xiang'quan'zhong 图像权重
'tui'la'jing'tou 推拉镜头
'wai'xing'qiu 外星球
'wan'sheng'jie'kong'bu 万圣节恐怖
'wei'duo'li'ya'shi'dai 维多利亚时代
'wei'ju'xi'jie 微距细节
'wei'lai'cheng'shi 未来城市
'wei'lai'ke'ji 未来科技
'wei'lai'zhu'yi 未来主义
'wei'xing'shi'tu 卫星视图
'wen'sheng'tu 文生图
'wen'yi'fu'xing 文艺复兴
'wu'dao 舞蹈
'wu'qi'dao'ju 武器道具
'wu'qi'liao'rao 雾气缭绕
'wu'ren'ji'pai'she 无人机拍摄
'wu'tuo'bang 乌托邦
'xi'fang'you'hua 西方油画
'xi'yang'yu'hui 夕阳余晖
'xian'dai'jian'zhu 现代建筑
'xian'shi'zhu'yi 现实主义
'xian'wei'jing'xia 显微镜下
'xiang'su'yi'shu 像素艺术
'xiang'xi'miao'shu 详细描述
'xiao'xiang'hua 肖像画
'xie'shi'feng'ge 写实风格
'xing'kong'cui'can 星空璀璨
'xu'hua'bei'jing 虚化背景
'xu'ni'xian'shi 虚拟现实
'xuan'ran 渲染
'xue'hua'piao'luo 雪花飘落
'xue'shan'hua'xue 雪山滑雪
'xue'xiao'ke'tang 学校课堂
'yan'jing'ming'liang 眼睛明亮
'yang'guang'ming'mei 阳光明媚
'yang'pai 仰拍
'ye'sheng'dong'wu 野生动物
'ye'shi'yi 夜视仪
'yi'shu 艺术
'yi'shu'da'shi 艺术大师
'yi'shu'feng'ge 艺术风格
'yi'yuan'chang'jing 医院场景
'yin'xiang'pai 印象派
'ying'hua'lang'man 樱花浪漫
'ying'xiao'su'cai 营销素材
'you'hua'feng'ge 油画风格
'you'xi'zi'chan 游戏资产
'you'yong 游泳
'yu'yan'guang'jiao 鱼眼广角
'yu'yan'xiao'guo 鱼眼效果
'yu'zhong'shi'run 雨中湿润
'yuan'yu'zhou 元宇宙
'yue'guang'jiao'jie 月光皎洁
'yun'dong'gan 运动感
'yun'dong'zhuang 运动装
'zeng'qiang'xian'shi 增强现实
'zhan'dou'zi'shi 战斗姿势
'zhan'zheng'chang'mian 战争场面
'zheng'qi'bo 蒸汽波
'zheng'qi'peng'ke 蒸汽朋克
'zhi'liang'can'shu 质量参数
'zhi'neng 智能
'zhong'guo'shui'mo 中国水墨
'zhong'jing 中景
'zhong'jing'zhu'ti 中景主体
'zhong'shi'ji'cheng'bao 中世纪城堡
'zhong'shi'ji'ou'zhou 中世纪欧洲
'zhuan'chang'xiao'guo 转场效果
'zi'ran'feng'jing 自然风景
'zi'tai'you'ya 姿态优雅
'zi'wai'xian 紫外线
'zi'xing'che'xiu'xian 自行车休闲
'zui'chun'xing'gan 嘴唇性感
'zuo'zi'fang'song 坐姿放松
